regeste	first_ent	first_ent_label				
Etienne [Ier de Bâgé], évêque d’Autun, accédant à la requête de Guillaume, abbé de Fontenay, dispense l'abbaye de Fontenay de payer les dîmes sur ses possessions sises dans le diocèse d'Autun, notamment à Flacey.	Autun	LOC	F			
Humbert, évêque d’Autun, notifie d’une part l’accord intervenu entre Aganon, abbé de Flavigny, et Guillaume, abbé de Fontenay, en présence d’Hugues, évêque d’Auxerre, d’Etienne, abbé de Reigny, et d’Obert, prieur de Saint-Symphorien, à propos d’un pré tenu par Fontenay, et d’autre part un échange de terres entre les abbayes de Flavigny et de Fontenay.	Autun	LOC	F			
Obert, abbé de Saint-Marguerite, notifie que Gautier, fils de Gilbert de Thil,condède à l’abbaye de Fontenay le don fait par son père qu’il avait contesté ; pour cela, il reçoit cent sous.	Saint-Marguerite	PER	F			
Humbert, évêque d’Autun, pacifie la querelle entre l’abbaye de Fontenay et celle [Notre-Dame] d’Oigny et délimite les territoires et droits des deux abbayes.	Autun	LOC	F			
Agnès, abbesse du Puits d’Orbe, donne à Guillaume, abbé, et à l’abbaye de Fontenay, un pré et une vigne sis au Fain, que son abbaye tenait du chef d’Ermengarde, fille de Hugues de Coraboeuf. En échange, l’abbaye de Fontenay donne 8 livres de Provins au Puits d’Orbe, et un manteau, une pelisse et des bottes à Ermengarde.	Puits d’Orbe	LOC	F			
Etienne, abbé de Reigny, et Armand, archidiacre d’Autun, notifient l’accord intervenu entre Obert de Thil et l’église de Fontenay : celle-ci reconnaît tenir un pré relevant de son chasement ; celui-là exempte celle-ci des dîmes de Morville et Éringes, et reçoit 60 livres.	Armand, archidiacre d’Autun	MISC	F			
Bernard, abbé de Saint-Martin d’Autun, engage à l’abbaye de Fontenay tout ce que son abbaye possède dans les finages de Fraisne et du Fain, sauf les gens, pour six livres de Provins.	Bernard	MISC	I			
Geoffroy [de la Roche-Vanneau], évêque de Langres, notifie le don fait par Milon de Molesme, de droits d’usage dans la forêt de « Pratee » au finage de Fontaines-les-Sèches. Il reçoit un cheval et cent sous, sa femme vingt sous et son fils cinq sous.	Langres	LOC	F			
Henri, évêque d’Autun, notifie la confirmation par Roger de Semur du don fait par Richard de Coraboeuf de son chasement qu’il tenait de lui sur le territoire de Fresne, à l’église de Fontenay. Roger de Semur retient les hommes du chasement et reçoit 10 livres de l’abbaye de Fontenay.	Henri	PER	I			
Henri, évêque d’Autun, notifie que Humbert « Rivellus » de Thil, mari de Dannun, fille de Hugues de Coraboeuf, abandonne sa prétention contre l’abbaye de Fontenay sur la pâture de Ménétreux, les moines ayant apporté le témoignage que cette pâture et celles d’Éringes, de Villeneuve-les-Convers et de Seigny étaient communes.	Henri	PER	I			
Henri, évêque d’Autun, notifie le don d’un pré fait par Hugues de Bessey-[la-Cour ?] à l’église de Fontenay	Henri	PER	I			
Geoffroy [de la Roche-Vanneau], évêque de Langres, notifie l’engagement par Roger de Corraboeuf de sa terre de Laignes au profit de l’abbaye de Fontenay pour la somme de 1000 sous.	Langres	LOC	F			
Henri, évêque de Langres, notifie l’engagement de la pâture et de la paisson des porcs à Gigny et Laignes au bénéfice de l’abbaye de Fontenay pour cent sous.	Henri	PER	I			
Henri, évêque d’Autun, notifie le confirmation par Hugues le jeune de Maligny du don d’une pâture à Lucennay aux moines de Fontenay faite par son père. Les moines de Fontenay lui donnent dix livres.	Henri	PER	I			
Geoffroy [de la Roche-Vanneau], évêque de Langres, notifie plusieurs dons faits, d’une part, par Hugues de Nesle à Arnaud, abbé de Fontenay, en particulier la paisson et le pânage à certaines conditions, ainsi que deux manses et 40 jugères de terre, et pour lesquels il a reçu 500 sous, et d’autre part, par Nivard, frère de Hugues de Nesles, faits à Raoul, abbé de Fontenay. 	Langres	LOC	F			
Godefroid [de la Roche-Vanneau], évêque de Langres, notifie divers dons d’André, seigneur de Montbard, à l’abbaye de Fontenay et la confirmation par lui de ceux faits par son père Bernard et son grand-père Renard.	Langres	LOC	F			
Fastrède [de Gaviaumer], abbé de Cîteaux, notifie le jugement intervenu entre les abbayes [Notre-Dame] de Quincy et [Notre-Dame] de Fontenay à propos du droit de pâturage de Nesle.	abbayes de Quincy	LOC	F			
Guillaume [IV], comte de Nevers, donne à Hélie et à ses héritiers, femme qu’il a amenée d’Espagne, la crierie du vin de Tonnerre.	comte de Nevers	PER	I			
Pierre, comte de Nevers, donne à l’abbaye Notre-Dame de Fontenay Jean de Gigny et ses héritiers, francs de toutes charges.	comte de Nevers	PER	I			
Gauthier, évêque de Langres, notifie le don par Roger de Corraboeuf à l’abbaye de Fontenay de ses possessions à Laignes, dont un moulin.	Langres	LOC	F			
Henri, évêque d’Autun, notifie le don par Roger de Corraboeuf à l’abbaye de Fontenay de ses possessions à Laignes, dont un moulin.	Henri	PER	I			
Gauthier, évêque de Langres, notifie la cession faite à l’abbaye de Fontenay par Renaud, vicomte de Tonnerre, et son frère Hugues Catin, de leurs droits à Villeneuve-les-Convers contre un cens annuel.	Langres	LOC	F			
Henri, évêque d’Autun, notifie plusieurs dons et abandons de prétentions faits par Robert de Sainte-Colombe.	Henri	PER	I			
Henri, évêque d’Autun notifie le don fait à l’abbaye de Fontenay par Hugues de Maligny des aisances de Lucennay et du droit d’acquérir dans son chasement, ainsi que la confirmation par son fils Hugues le jeune de Maligny qui reçoit 10 livres	Henri	PER	I			
Gauthier, évêque de Langres, notifie plusieurs dons faits à l’abbaye de Fontenay par Osmond de Planay, dont ses droits sur le bois et la plaine de Planay contre un cens annuel.	Langres	LOC	F			
Hugues [III], duc de Bourgogne, notifie la reconnaissance par Hugues de Cérilly de plusieurs dons et droits de l’abbaye de Fontenay à Planay et Savoisy.	duc de Bourgogne	PER	I			
Gauthier, évêque de Langres, notifie le don à l’abbaye de Fontenay fait par Robert d’Aisy des pâtures sur ses terres de Laignes, Gigny et autres lieux.	Langres	LOC	F			
Gauthier, évêque de Langres, notifie plusieurs dons et ratifications de dons faits à l’abbaye de Fontenay par Eudes de Marmagne et son père Bartholomé de Châtillon .	Langres	LOC	F			
Gauthier, évêque de Langres,notifie le don fait à l’abbaye de Fontenay par Hugues de Bellenot de ce qu’il possédait dans la dîme de Planay.	Langres	LOC	F			
Etienne [II], évêque d’Autun, notifie le don de plusieurs terres faits par Guillaume et Gilbert de Nuits et leur famille.	Autun	LOC	F			
Gauthier, évêque de Langres, notifie les donations faites par Osmond de Planay et Ysabelle, sa femme, à l’abbaye de Fontenay.	Langres	LOC	F			
Etienne, évêque d’Autun, notifie le don fait à Fontenay par Guillaume Buro du pâturage à La Villeneuve-les-Convers et du droit d’acquérir des terres à Estormer	Autun	LOC	F			
Etienne, évêque d’Autun, notifie le don fait à Fontenay par Guillaume Buro du pâturage à La Villeneuve-les-Convers et du droit d’acquérir des terres à Estormer	Autun	LOC	F			
Gauthier, évêque de Langres, notifie que Simon de Lentagio et ses fils, Simon et Geoffroi, ont donné à l’abbaye de Fontenay des droits, notamment de pâture et de paisson, dans le finage du Puits et à Jouancey.	Langres	LOC	F			
Etienne [II], évêque d’Autun, notifie le règlement intervenu entre l’abbaye de Fontenay et Calon de Lucenay, rendu par six compositores pacis, au sujet de pâtures de Lucennay, Estormay et La Villeneuve-les-Convers et Eringes.	Autun	LOC	F			
Etienne [II], évêque d’Autun, notifie que Renier de Cérilly et son épouse Hodierne, fille de Gérard Pilosus, approuvent la donation de ce dernier et réglementent les futures acquisitions par l’abbaye de Fontenay.	Autun	LOC	F			
Etienne [II], évêque d’Autun, notifie le don fait par Mathilde, dame de Saint-Andeux, à l’abbaye de Fontenay.	Autun	LOC	F			
Etienne [de Bâgé], évêque d’Autun, notifie l’accord intervenu entre Osmond de Rougemont et l’abbaye Notre-Dame de Fontenay.	Autun	LOC	F			
Etienne [de Bâgé], évêque d’Autun, notifie l’accord intervenu entre Osmond de Rougemont et l’abbaye Notre-Dame de Fontenay.	Autun	LOC	F			
Eudes, archiprêtre de Touillon, notifie le don d'un pré fait par André de Fontaines à l'abbaye de Fontenay à l'occasion de la croisade	Touillon	PER	F			
Eudes, archiprêtre de Touillon, notifie le don fait à Fontenay par Humbelinus Cornellus d’un pré chargé d’un cens de deux deniers.	Touillon	PER	F			
Robert, archiprêtre de Duesme, notifie l’engagement par Huet de Verres de deux pâtures au bénéfice de l’abbaye de Fontenay pour 100 s. de Dijon	Duesme	PER	F			
Jacques, doyen de Dijon, notifie la vente de huit journaux et demi par son frère Bonvalet (Bonus Vasletus) à l’abbaye de Fontenay	Dijon	LOC	F			
Guillaume, doyen, et le chapitre d’Auxerre, notifient l’accord intervenu avec l’abbaye de Fontenay.	Auxerre	LOC	F			
Thibaud, doyen de Moutier-Saint-Jean, notifie le don fait par Hugues de Corraboeuf à l'abbaye de Fontenay de divers biens	Moutier-Saint-Jean	LOC	F			
A[rnaud], abbé de Cîteaux, sur une plainte faite au Chapitre général et enquête faite par décision dudit Chapitre, notifie l’accord intervenu entre l’abbaye de La Ferté et celle de Fontenay, qui reçoit 50 livres et abandonne à La Ferté les 15 jugères de terre qu’elle occupait près de Beaune. 	abbé de Cîteaux	PER	I			
G[authier], évêque d’Autun, G[uillaume de Joinville], évêque de Langres, et G[uillaume de Seignelay], évêque d’Auxerre, notifient l’accord intervenu entre l’abbaye de Fontenay et André d’Epoisses à propos des possessions, en terre et en hommes, à Marmagne et d’une somme de 30 marcs d’argent.	Autun	LOC	F			
"Etienne, évêque d’Autun, notifie diverses donations faites à l’abbaye de Fontenay. La donation de ""Bernardus, miles de Espiri"", date des années 1125-1136, d’après la présence parmi les témoins de l’évêque de Langres Villain"	Autun	LOC	F			
Lucius [II] place l’abbaye de Fontenay, sous la direction de l’abbé Guillaume, sous la protection apostolique et lui confirme dîmes et dons énumérés dans l’acte.	Lucius  place	PER	F			
Eugène [III] place l’abbaye de Fontenay, sous la direction de l’abbé Guillaume, sous la protection apostolique et lui confirme dîmes et dons énumérés dans l’acte. 	Eugène	PER	V			
Eugène [III] confirme à l’abbé de Fontenay, Guillaume, l’accord intervenu grâce à Humbert [de Bâgé], évêque d’Autun, entre l’abbaye de Fontenay et celle de [Notre-Dame] d’Oigny.	Eugène	PER	V			
Eugène [III] confirme à Guillaume, abbé de Fontenay, le don de Rainaud de Rougemont.	Eugène	PER	V			
Humbert, évêque d’Autun, à la demande de Guillaume, abbé de Fontenay, confirme les dons faits par Richard d’Epiry au moment de son départ pour la croisade.	Autun	LOC	F			
Henri [Ier], comte palatin de Troyes, agissant pour lui et ses successeurs, dispense l’abbaye de Clairvaux et les abbayes dépendant d’elle de totu droit de tonlieu, péage ou coutume sur ses terres ; il leur permet de vendre et acheter en franchise à ses foires pour leur usage seulement.	Henri	PER	I			
Alexandre [III]ordonne aux abbé, religieux et habitants de Flavigny de rendre incessamment les vignes et dîmes prises à l’abbaye de Fontenay, et de rendre les dommages à celle-ci, sauf à en répondre devant les évêque de Belley et de Saint-Jean de Maurienne.	Flavigny	LOC	F			
Alexandre [III] confirme à l’abbé Bernard (1169-1183) et aux religieux de Fontenay un compromis passé avec les religieux de Saint-Martin d’Autun par l’intermédiaire de l’archevêque de Lyon et de l’évêque d’Autun (voir acte n°52@@). 	Alexandre	PER	V			
Lucius [III], suivant l’exemple d’Eugène [III] et Alexandre [III], place l’abbaye de Fontenay, sous la direction de l’abbé Bernard, sous la protection apostolique et lui confirme dîmes, dons et autres privilèges énumérés dans l’acte.	Lucius	PER	V			
Lucius [III], suivant l’exemple d’Eugène [III] et Alexandre [III], place l’abbaye de Fontenay, sous la direction de l’abbé Bernard, sous la protection apostolique et lui confirme dîmes, dons et autres privilèges énumérés dans l’acte.	Lucius	PER	V			
Lucius [III] confirme à l’abbaye de Fontenay certains dons énumérés dans l’acte.	Lucius	PER	V			
Gauthier, évêque d’Autun, notifie que Jean de Fontaine [-en-Duesmois] et son frère André, ont cédé en aumône à l’église de Fontenay la dîme qu’ils possédaient sur les vignes de Flavigny et d’Alise et qui leur venait du chef de leur mère.	Autun	LOC	F			
Mathilde [de Bourgogne], comtesse d’Auvergne [épouse du comte d'Auvergne Robert IV], donne son droit sur Thibaud Columcapre et ses héritiers à Marmagne	comtesse d’Auvergne	PER	I			
						
				Results		
						
				V	7	11,00 %
				I	15	25,00 %
